JD,Tempo,BCPy
2451581.0,-23811.879190059793,-23811.879533210173
2451581.920640766,-23759.683083672327,-23759.683460806275
2451582.841281532,-23718.6012190554,-23718.601846921523
2451583.761922298,-23646.503777075875,-23646.504522808318
2451584.6825630637,-23506.922881918857,-23506.923838357216
2451585.60320383,-23277.423876774057,-23277.42473471614
2451586.523844596,-22954.76934485849,-22954.770031174492
2451587.4444853617,-22555.69904347931,-22555.699358705013
2451588.365126128,-22113.14175051795,-22113.14222543512
2451589.2857668935,-21668.728622324583,-21668.728870452367
2451590.2064076597,-21263.30856678874,-21263.308733654078
2451591.127048426,-20927.64231969614,-20927.64215550693
2451592.0476891915,-20675.392553575435,-20675.392497871213
2451592.9683299577,-20500.020941815932,-20500.021401225997
2451593.888970724,-20376.297985436337,-20376.298586668934
2451594.8096114895,-20266.08155468362,-20266.08234691707
2451595.7302522557,-20127.048578210382,-20127.04928599735
2451596.6508930214,-19922.376222933526,-19922.376961785107
2451597.5715337875,-19629.16430232229,-19629.164951436745
2451598.4921745537,-19243.669325941173,-19243.66977299285
2451599.4128153194,-18782.158305372395,-18782.15875635667
2451600.3334560855,-18277.18936709401,-18277.189867244677
2451601.254096851,-17770.1695785897,-17770.169720261325
2451602.1747376174,-17301.891954443105,-17301.89207112686
2451603.0953783835,-16903.21982541494,-16903.21993074599
2451604.016019149,-16588.041125088857,-16588.041215706802
2451604.9366599154,-16350.107800901631,-16350.108007131188
2451605.857300681,-16164.481470336234,-16164.481838412074
2451606.777941447,-15993.25420750367,-15993.25465318258
2451607.6985822134,-15794.237221096413,-15794.23784955489
2451608.619222979,-15530.632740680836,-15530.633608747681
2451609.539863745,-15179.476780893205,-15179.477554317848
2451610.4605045114,-14736.922087132456,-14736.922723344522
2451611.381145277,-14219.156234973207,-14219.156592132942
2451612.301786043,-13658.740630623008,-13658.740953752927
2451613.222426809,-13097.210391918114,-13097.210742492225
2451614.143067575,-12575.623022340322,-12575.623132751118
2451615.063708341,-12125.216620204172,-12125.21670390202
2451615.984349107,-11760.315221186109,-11760.315055930438
2451616.904989873,-11475.09545871892,-11475.095746824873
2451617.8256306387,-11244.9611663743,-11244.961620984017
2451618.746271405,-11032.198932603784,-11032.199499736027
2451619.666912171,-10794.630926512104,-10794.631632161902
2451620.5875529367,-10495.281447843894,-10495.282234671784
2451621.508193703,-10110.849109813556,-10110.849666110018
2451622.4288344686,-9637.047887574348,-9637.04862002924
2451623.3494752347,-9089.601766637614,-9089.602169708684
2451624.270116001,-8500.657249442802,-8500.657465378988
2451625.1907567666,-7911.444361037512,-7911.444726659389
2451626.1113975327,-7362.8579135324335,-7362.858003155772
2451627.0320382984,-6886.1115721567785,-6886.111623174826
2451627.9526790646,-6495.609372204409,-6495.609375532983
2451628.8733198307,-6185.657556381479,-6185.657770258079
2451629.7939605964,-5931.775573221113,-5931.7757692469795
2451630.7146013626,-5696.301710384226,-5696.302134060387
2451631.6352421287,-5437.018177638824,-5437.0187439416395
