|            JD |           Tempo |              BC |            432s |             430 |             423 |             405 |
|     2451581.0 |  -23811.8791901 |  -23811.8794849 |  -23811.8794748 |  -23811.8794723 |  -23811.8794547 |  -23811.8795196 |
| 2451581.92064 |  -23759.6830837 |  -23759.6834208 |   -23759.683403 |  -23759.6834005 |  -23759.6833828 |   -23759.683447 |
| 2451582.84128 |  -23718.6012191 |  -23718.6017941 |  -23718.6017905 |  -23718.6017879 |  -23718.6017701 |  -23718.6018336 |
| 2451583.76192 |  -23646.5037771 |  -23646.5044593 |  -23646.5044664 |  -23646.5044637 |  -23646.5044458 |  -23646.5045085 |
| 2451584.68256 |  -23506.9228819 |  -23506.9237837 |  -23506.9237814 |  -23506.9237787 |  -23506.9237607 |  -23506.9238227 |
|  2451585.6032 |  -23277.4238768 |  -23277.4246946 |   -23277.424677 |  -23277.4246742 |  -23277.4246561 |  -23277.4247173 |
| 2451586.52384 |  -22954.7693449 |  -22954.7700019 |  -22954.7699731 |  -22954.7699703 |  -22954.7699521 |  -22954.7700124 |
| 2451587.44449 |  -22555.6990435 |  -22555.6993583 |  -22555.6993014 |  -22555.6992984 |  -22555.6992802 |  -22555.6993396 |
| 2451588.36513 |  -22113.1417505 |  -22113.1422204 |   -22113.142168 |   -22113.142165 |  -22113.1421467 |  -22113.1422053 |
| 2451589.28577 |  -21668.7286223 |  -21668.7288504 |  -21668.7288122 |  -21668.7288092 |  -21668.7287908 |  -21668.7288486 |
| 2451590.20641 |  -21263.3085668 |  -21263.3086969 |  -21263.3086753 |  -21263.3086722 |  -21263.3086538 |  -21263.3087108 |
| 2451591.12705 |  -20927.6423197 |   -20927.642105 |  -20927.6420974 |  -20927.6420942 |  -20927.6420758 |   -20927.642132 |
| 2451592.04769 |  -20675.3925536 |  -20675.3924411 |   -20675.392439 |  -20675.3924357 |  -20675.3924172 |  -20675.3924727 |
| 2451592.96833 |  -20500.0209418 |  -20500.0213501 |  -20500.0213417 |  -20500.0213383 |  -20500.0213197 |  -20500.0213747 |
| 2451593.88897 |  -20376.2979854 |  -20376.2985425 |  -20376.2985278 |  -20376.2985244 |  -20376.2985057 |  -20376.2985601 |
| 2451594.80961 |  -20266.0815547 |  -20266.0822851 |  -20266.0822885 |   -20266.082285 |  -20266.0822663 |  -20266.0823203 |
| 2451595.73025 |  -20127.0485782 |  -20127.0492136 |  -20127.0492282 |  -20127.0492246 |  -20127.0492059 |  -20127.0492593 |
| 2451596.65089 |  -19922.3762229 |  -19922.3769015 |  -19922.3769048 |  -19922.3769011 |  -19922.3768823 |  -19922.3769354 |
| 2451597.57153 |  -19629.1643023 |  -19629.1649076 |  -19629.1648955 |  -19629.1648917 |  -19629.1648729 |  -19629.1649255 |
| 2451598.49217 |  -19243.6693259 |  -19243.6697609 |  -19243.6697185 |  -19243.6697147 |  -19243.6696958 |   -19243.669748 |
| 2451599.41282 |  -18782.1583054 |  -18782.1587554 |  -18782.1587038 |  -18782.1586999 |   -18782.158681 |  -18782.1587327 |
| 2451600.33346 |  -18277.1893671 |  -18277.1898611 |  -18277.1898151 |  -18277.1898112 |  -18277.1897922 |  -18277.1898435 |
|  2451601.2541 |  -17770.1695786 |   -17770.169698 |  -17770.1696676 |  -17770.1696636 |  -17770.1696447 |  -17770.1696954 |
| 2451602.17474 |  -17301.8919544 |  -17301.8920325 |  -17301.8920183 |  -17301.8920142 |  -17301.8919952 |  -17301.8920454 |
| 2451603.09538 |  -16903.2198254 |  -16903.2198797 |  -16903.2198769 |  -16903.2198727 |  -16903.2198538 |  -16903.2199033 |
| 2451604.01602 |  -16588.0411251 |  -16588.0411637 |   -16588.041161 |  -16588.0411568 |  -16588.0411379 |  -16588.0411868 |
| 2451604.93666 |  -16350.1078009 |  -16350.1079686 |  -16350.1079524 |  -16350.1079481 |  -16350.1079292 |  -16350.1079773 |
|  2451605.8573 |  -16164.4814703 |  -16164.4818086 |  -16164.4817826 |  -16164.4817783 |  -16164.4817594 |  -16164.4818067 |
| 2451606.77794 |  -15993.2542075 |  -15993.2545977 |   -15993.254597 |  -15993.2545926 |  -15993.2545737 |  -15993.2546202 |
| 2451607.69858 |  -15794.2372211 |  -15794.2377799 |  -15794.2377943 |  -15794.2377899 |   -15794.237771 |  -15794.2378166 |
| 2451608.61922 |  -15530.6327407 |  -15530.6335477 |  -15530.6335538 |  -15530.6335494 |  -15530.6335305 |  -15530.6335752 |
| 2451609.53986 |  -15179.4767809 |  -15179.4775079 |  -15179.4775001 |  -15179.4774956 |  -15179.4774768 |  -15179.4775204 |
|  2451610.4605 |  -14736.9220871 |  -14736.9227053 |  -14736.9226694 |  -14736.9226649 |  -14736.9226461 |  -14736.9226887 |
| 2451611.38115 |   -14219.156235 |  -14219.1565848 |  -14219.1565368 |  -14219.1565322 |  -14219.1565135 |  -14219.1565549 |
| 2451612.30179 |  -13658.7406306 |  -13658.7409427 |  -13658.7408985 |  -13658.7408938 |  -13658.7408752 |  -13658.7409154 |
| 2451613.22243 |  -13097.2103919 |   -13097.210717 |  -13097.2106877 |   -13097.210683 |  -13097.2106645 |  -13097.2107036 |
| 2451614.14307 |  -12575.6230223 |   -12575.623087 |  -12575.6230774 |  -12575.6230727 |  -12575.6230542 |  -12575.6230921 |
| 2451615.06371 |  -12125.2166202 |  -12125.2166441 |  -12125.2166482 |  -12125.2166434 |   -12125.216625 |  -12125.2166617 |
| 2451615.98435 |  -11760.3152212 |  -11760.3149961 |  -11760.3149999 |  -11760.3149951 |  -11760.3149767 |  -11760.3150123 |
| 2451616.90499 |  -11475.0954587 |  -11475.0957029 |  -11475.0956908 |   -11475.095686 |  -11475.0956677 |  -11475.0957022 |
| 2451617.82563 |  -11244.9611664 |   -11244.961588 |   -11244.961565 |  -11244.9615601 |  -11244.9615419 |  -11244.9615753 |
| 2451618.74627 |  -11032.1989326 |  -11032.1994383 |  -11032.1994431 |  -11032.1994381 |    -11032.19942 |  -11032.1994524 |
| 2451619.66691 |  -10794.6309265 |  -10794.6315539 |   -10794.631574 |  -10794.6315691 |   -10794.631551 |  -10794.6315825 |
| 2451620.58755 |  -10495.2814478 |  -10495.2821651 |  -10495.2821768 |  -10495.2821717 |  -10495.2821538 |  -10495.2821843 |
| 2451621.50819 |  -10110.8491098 |  -10110.8496106 |  -10110.8496107 |  -10110.8496056 |  -10110.8495877 |  -10110.8496174 |
| 2451622.42883 |  -9637.04788757 |  -9637.04858874 |  -9637.04856711 |  -9637.04856198 |  -9637.04854421 |   -9637.0485732 |
| 2451623.34948 |  -9089.60176664 |  -9089.60214598 |  -9089.60211775 |  -9089.60211259 |  -9089.60209492 |  -9089.60212314 |
| 2451624.27012 |  -8500.65724944 |  -8500.65743642 |  -8500.65741329 |   -8500.6574081 |  -8500.65739049 |  -8500.65741805 |
| 2451625.19076 |  -7911.44436104 |  -7911.44468436 |   -7911.4446739 |  -7911.44466865 |  -7911.44465117 |    -7911.444678 |
|  2451626.1114 |  -7362.85791353 |  -7362.85794714 |   -7362.8579509 |  -7362.85794561 |   -7362.8579282 |  -7362.85795436 |
| 2451627.03204 |  -6886.11157216 |  -6886.11155964 |  -6886.11157029 |  -6886.11156496 |  -6886.11154769 |  -6886.11157312 |
| 2451627.95268 |   -6495.6093722 |  -6495.60931782 |  -6495.60932105 |  -6495.60931566 |  -6495.60929848 |  -6495.60932318 |
| 2451628.87332 |  -6185.65755638 |  -6185.65773202 |  -6185.65771501 |  -6185.65770958 |  -6185.65769254 |  -6185.65771647 |
| 2451629.79396 |  -5931.77557322 |  -5931.77574279 |  -5931.77571443 |  -5931.77570897 |  -5931.77569206 |  -5931.77571516 |
|  2451630.7146 |  -5696.30171038 |  -5696.30207778 |  -5696.30208114 |  -5696.30207568 |  -5696.30205891 |  -5696.30208114 |
| 2451631.63524 |  -5437.01817764 |  -5437.01867135 |  -5437.01869229 |  -5437.01868676 |  -5437.01867012 |  -5437.01869145 |
| 2451632.55588 |  -5116.81812153 |  -5116.81874855 |  -5116.81876203 |  -5116.81875647 |     -5116.81874 |  -5116.81876037 |
| 2451633.47652 |  -4712.20891165 |  -4712.20946345 |  -4712.20946448 |  -4712.20945892 |  -4712.20944258 |  -4712.20946195 |
| 2451634.39716 |  -4218.70491236 |  -4218.70544917 |  -4218.70544028 |  -4218.70543469 |  -4218.70541852 |  -4218.70543682 |
| 2451635.31781 |  -3651.88018595 |  -3651.88058104 |   -3651.8805683 |   -3651.8805627 |  -3651.88054666 |  -3651.88056384 |
| 2451636.23845 |  -3043.83766903 |  -3043.83794431 |  -3043.83793423 |   -3043.8379286 |  -3043.83791276 |  -3043.83792873 |
| 2451637.15909 |  -2435.90526587 |  -2435.90528874 |  -2435.90528641 |  -2435.90528078 |   -2435.9052651 |  -2435.90527988 |
| 2451638.07973 |   -1869.2258039 |  -1869.22579603 |  -1869.22580505 |  -1869.22579939 |  -1869.22578392 |   -1869.2257974 |
| 2451639.00037 |  -1375.39474003 |  -1375.39454753 |  -1375.39456304 |  -1375.39455739 |  -1375.39454208 |  -1375.39455426 |
| 2451639.92101 |  -969.280206276 |  -969.280016065 |  -969.280025218 |   -969.28001956 |  -969.280004449 |    -969.2800153 |
| 2451640.84165 |  -645.669921015 |  -645.670103019 |    -645.6700934 |  -645.670087742 |  -645.670072797 |  -645.670082283 |
| 2451641.76229 |   -380.50787488 |  -380.508168735 |  -380.508149364 |  -380.508143706 |  -380.508128961 |  -380.508137083 |
| 2451642.68293 |  -136.435322791 |  -136.435785619 |  -136.435797768 |  -136.435792076 |  -136.435777565 |  -136.435784388 |
| 2451643.60357 |   128.625459447 |   128.624976223 |   128.624948398 |   128.624954123 |   128.624968435 |    128.62496291 |
| 2451644.52421 |   451.812395787 |   451.811876325 |   451.811857153 |   451.811862745 |    451.81187699 |   451.811872597 |
| 2451645.44485 |   856.794724355 |   856.794292833 |   856.794285111 |   856.794290769 |   856.794304682 |   856.794301553 |
| 2451646.36549 |   1348.32794499 |   1348.32738612 |   1348.32738825 |   1348.32739397 |   1348.32740769 |   1348.32740569 |
| 2451647.28614 |   1911.13522761 |   1911.13499617 |   1911.13500069 |   1911.13500642 |      1911.13502 |   1911.13501893 |
| 2451648.20678 |   2513.37785772 |   2513.37761295 |   2513.37761322 |   2513.37761894 |   2513.37763225 |   2513.37763225 |
| 2451649.12742 |   3113.91279503 |   3113.91281875 |   3113.91280996 |   3113.91281555 |   3113.91282873 |   3113.91282967 |
| 2451650.04806 |   3671.68791735 |   3671.68777206 |   3671.68775362 |   3671.68775935 |   3671.68777226 |   3671.68777399 |
|  2451650.9687 |   4155.11537648 |   4155.11538519 |   4155.11536342 |   4155.11536915 |   4155.11538186 |   4155.11538446 |
| 2451651.88934 |   4549.28921861 |   4549.28945073 |   4549.28943809 |   4549.28944381 |   4549.28945633 |   4549.28945979 |
| 2451652.80998 |    4859.3881336 |   4859.38812557 |   4859.38813449 |   4859.38814021 |   4859.38815246 |   4859.38815666 |
| 2451653.73062 |   5109.48708969 |   5109.48679128 |   5109.48680805 |   5109.48681378 |   5109.48682589 |   5109.48683082 |
| 2451654.65126 |    5337.0512523 |   5337.05093388 |   5337.05092037 |   5337.05092609 |   5337.05093794 |    5337.0509438 |
|  2451655.5719 |   5584.36788856 |   5584.36731892 |   5584.36729083 |   5584.36729656 |   5584.36730814 |    5584.3673148 |
| 2451656.49254 |   5888.87218162 |   5888.87168869 |   5888.87165901 |   5888.87166473 |   5888.87167605 |    5888.8716835 |
| 2451657.41318 |   6274.58395891 |   6274.58340693 |   6274.58339688 |    6274.5834026 |   6274.58341372 |   6274.58342211 |
| 2451658.33382 |   6746.60509748 |   6746.60485602 |   6746.60485275 |   6746.60485848 |   6746.60486933 |   6746.60487865 |
| 2451659.25447 |   7289.94279662 |   7289.94245645 |   7289.94244866 |   7289.94245439 |   7289.94246497 |   7289.94247529 |
| 2451660.17511 |   7872.91902757 |   7872.91904459 |   7872.91902755 |   7872.91903327 |   7872.91904353 |   7872.91905484 |
| 2451661.09575 |   8454.39746243 |   8454.39742506 |   8454.39739843 |   8454.39740416 |   8454.39741427 |   8454.39742666 |
| 2451662.01639 |   8993.16382124 |    8993.1637921 |   8993.16376207 |    8993.1637678 |   8993.16377765 |    8993.1637911 |
| 2451662.93703 |   9457.32557674 |   9457.32577938 |   9457.32575368 |   9457.32575934 |   9457.32576893 |   9457.32578357 |
| 2451663.85767 |   9831.57613847 |   9831.57631763 |   9831.57630545 |   9831.57631118 |   9831.57632036 |   9831.57633634 |
| 2451664.77831 |   10120.6621924 |   10120.6622493 |   10120.6622578 |   10120.6622635 |   10120.6622725 |   10120.6622896 |
| 2451665.69895 |   10348.2645425 |   10348.2643488 |   10348.2643627 |   10348.2643683 |    10348.264377 |   10348.2643954 |
| 2451666.61959 |   10551.5452432 |   10551.5448772 |   10551.5448613 |   10551.5448669 |   10551.5448754 |   10551.5448951 |
