|            JD |          Tempo |              BC |            432s |             430 |             423 |            405 |
|     2451581.0 | -23811.8794569 |  -23811.8791901 |  -23811.8793953 |  -23811.8793929 |  -23811.8793753 | -23811.8794401 |
| 2451581.92064 | -23759.6834164 |  -23759.6830837 |  -23759.6833238 |  -23759.6833212 |  -23759.6833035 | -23759.6833677 |
| 2451582.84128 | -23718.6018007 |  -23718.6012191 |  -23718.6017114 |  -23718.6017088 |   -23718.601691 | -23718.6017545 |
| 2451583.76192 | -23646.5044966 |  -23646.5037771 |  -23646.5043875 |  -23646.5043848 |  -23646.5043669 | -23646.5044297 |
| 2451584.68256 | -23506.9238353 |  -23506.9228819 |   -23506.923703 |  -23506.9237003 |  -23506.9236823 | -23506.9237443 |
|  2451585.6032 | -23277.4247492 |  -23277.4238768 |  -23277.4245994 |  -23277.4245966 |  -23277.4245785 | -23277.4246396 |
| 2451586.52384 | -22954.7700494 |  -22954.7693449 |  -22954.7698966 |  -22954.7698937 |  -22954.7698756 | -22954.7699358 |
| 2451587.44449 | -22555.6993733 |  -22555.6990435 |  -22555.6992261 |  -22555.6992232 |   -22555.699205 | -22555.6992644 |
| 2451588.36513 | -22113.1422092 |  -22113.1417505 |  -22113.1420942 |  -22113.1420912 |   -22113.142073 | -22113.1421315 |
| 2451589.28577 | -21668.7288172 |  -21668.7286223 |    -21668.72874 |  -21668.7287369 |  -21668.7287186 | -21668.7287763 |
| 2451590.20641 | -21263.3086447 |  -21263.3085668 |  -21263.3086044 |  -21263.3086013 |  -21263.3085829 | -21263.3086399 |
| 2451591.12705 | -20927.6420499 |  -20927.6423197 |  -20927.6420276 |  -20927.6420244 |   -20927.642006 | -20927.6420622 |
| 2451592.04769 | -20675.3923947 |  -20675.3925536 |    -20675.39237 |  -20675.3923667 |  -20675.3923482 | -20675.3924038 |
| 2451592.96833 | -20500.0213226 |  -20500.0209418 |  -20500.0212733 |  -20500.0212699 |  -20500.0212514 | -20500.0213064 |
| 2451593.88897 | -20376.2985371 |  -20376.2979854 |  -20376.2984598 |  -20376.2984564 |  -20376.2984378 | -20376.2984922 |
| 2451594.80961 | -20266.0822922 |  -20266.0815547 |  -20266.0822209 |  -20266.0822174 |  -20266.0821987 | -20266.0822527 |
| 2451595.73025 | -20127.0492497 |  -20127.0485782 |   -20127.049161 |  -20127.0491575 |  -20127.0491387 | -20127.0491922 |
| 2451596.65089 | -19922.3769514 |  -19922.3762229 |  -19922.3768383 |  -19922.3768347 |  -19922.3768159 | -19922.3768689 |
| 2451597.57153 | -19629.1649619 |  -19629.1643023 |    -19629.16483 |  -19629.1648263 |  -19629.1648074 |   -19629.16486 |
| 2451598.49217 | -19243.6697936 |  -19243.6693259 |  -19243.6696543 |  -19243.6696505 |  -19243.6696317 | -19243.6696838 |
| 2451599.41282 | -18782.1587701 |  -18782.1583054 |  -18782.1586411 |  -18782.1586373 |  -18782.1586184 | -18782.1586701 |
| 2451600.33346 | -18277.1898498 |  -18277.1893671 |  -18277.1897541 |  -18277.1897502 |  -18277.1897313 | -18277.1897825 |
|  2451601.2541 | -17770.1696685 |  -17770.1695786 |  -17770.1696083 |  -17770.1696043 |  -17770.1695854 | -17770.1696361 |
| 2451602.17474 | -17301.8919844 |  -17301.8919544 |  -17301.8919606 |  -17301.8919565 |  -17301.8919375 | -17301.8919877 |
| 2451603.09538 | -16903.2198254 |  -16903.2198254 |  -16903.2198205 |  -16903.2198163 |  -16903.2197974 | -16903.2198469 |
| 2451604.01602 | -16588.0411131 |  -16588.0411251 |  -16588.0411057 |  -16588.0411015 |  -16588.0410825 | -16588.0411314 |
| 2451604.93666 | -16350.1079358 |  -16350.1078009 |  -16350.1078978 |  -16350.1078936 |  -16350.1078746 | -16350.1079228 |
|  2451605.8573 | -16164.4817971 |  -16164.4814703 |  -16164.4817287 |  -16164.4817243 |  -16164.4817054 | -16164.4817528 |
| 2451606.77794 | -15993.2546152 |  -15993.2542075 |  -15993.2545436 |  -15993.2545393 |  -15993.2545204 | -15993.2545669 |
| 2451607.69858 | -15794.2378117 |  -15794.2372211 |  -15794.2377416 |  -15794.2377372 |  -15794.2377183 |  -15794.237764 |
| 2451608.61922 | -15530.6335981 |  -15530.6327407 |   -15530.633502 |  -15530.6334976 |  -15530.6334787 | -15530.6335234 |
| 2451609.53986 | -15179.4775634 |  -15179.4767809 |  -15179.4774495 |  -15179.4774449 |  -15179.4774262 | -15179.4774698 |
|  2451610.4605 | -14736.9227317 |  -14736.9220871 |  -14736.9226203 |  -14736.9226157 |  -14736.9225969 | -14736.9226395 |
| 2451611.38115 | -14219.1565857 |   -14219.156235 |  -14219.1564894 |  -14219.1564847 |   -14219.156466 | -14219.1565075 |
| 2451612.30179 | -13658.7409184 |  -13658.7406306 |  -13658.7408529 |  -13658.7408482 |  -13658.7408296 | -13658.7408699 |
| 2451613.22243 | -13097.2106737 |  -13097.2103919 |  -13097.2106441 |  -13097.2106394 |  -13097.2106208 | -13097.2106599 |
| 2451614.14307 | -12575.6230343 |  -12575.6230223 |  -12575.6230355 |  -12575.6230308 |  -12575.6230123 | -12575.6230502 |
| 2451615.06371 | -12125.2165902 |  -12125.2166202 |  -12125.2166077 |  -12125.2166029 |  -12125.2165845 | -12125.2166213 |
| 2451615.98435 | -11760.3149484 |  -11760.3152212 |  -11760.3149607 |  -11760.3149559 |  -11760.3149375 | -11760.3149731 |
| 2451616.90499 | -11475.0956686 |  -11475.0954587 |  -11475.0956526 |  -11475.0956477 |  -11475.0956294 | -11475.0956639 |
| 2451617.82563 | -11244.9615741 |  -11244.9611664 |  -11244.9615275 |  -11244.9615226 |  -11244.9615044 | -11244.9615378 |
| 2451618.74627 | -11032.1994512 |  -11032.1989326 |  -11032.1994063 |  -11032.1994013 |  -11032.1993832 | -11032.1994156 |
| 2451619.66691 | -10794.6315891 |  -10794.6309265 |   -10794.631538 |   -10794.631533 |   -10794.631515 | -10794.6315465 |
| 2451620.58755 | -10495.2822153 |  -10495.2814478 |  -10495.2821417 |  -10495.2821367 |  -10495.2821188 | -10495.2821493 |
| 2451621.50819 | -10110.8496644 |  -10110.8491098 |  -10110.8495769 |  -10110.8495718 |   -10110.849554 | -10110.8495837 |
| 2451622.42883 | -9637.04862207 |  -9637.04788757 |  -9637.04853496 |  -9637.04852984 |  -9637.04851206 | -9637.04854105 |
| 2451623.34948 | -9089.60215637 |  -9089.60176664 |  -9089.60208743 |  -9089.60208227 |   -9089.6020646 | -9089.60209283 |
| 2451624.27012 | -8500.65742032 |  -8500.65724944 |  -8500.65738493 |  -8500.65737974 |  -8500.65736214 | -8500.65738969 |
| 2451625.19076 | -7911.44464584 |  -7911.44436104 |  -7911.44464752 |  -7911.44464226 |  -7911.44462478 | -7911.44465161 |
|  2451626.1114 | -7362.85789554 |  -7362.85791353 |  -7362.85792634 |  -7362.85792105 |  -7362.85790364 |  -7362.8579298 |
| 2451627.03204 |  -6886.1115062 |  -6886.11157216 |  -6886.11154732 |  -6886.11154199 |  -6886.11152472 | -6886.11155015 |
| 2451627.95268 | -6495.60926728 |   -6495.6093722 |  -6495.60929938 |  -6495.60929399 |  -6495.60927681 | -6495.60930151 |
| 2451628.87332 | -6185.65769728 |  -6185.65755638 |  -6185.65769437 |  -6185.65768895 |  -6185.65767191 | -6185.65769584 |
| 2451629.79396 | -5931.77572612 |  -5931.77557322 |  -5931.77569464 |  -5931.77568918 |  -5931.77567228 | -5931.77569537 |
|  2451630.7146 | -5696.30208812 |  -5696.30171038 |  -5696.30206214 |  -5696.30205668 |  -5696.30203991 | -5696.30206214 |
| 2451631.63524 | -5437.01870228 |  -5437.01817764 |  -5437.01867415 |  -5437.01866862 |  -5437.01865198 | -5437.01867332 |
| 2451632.55588 | -5116.81879606 |  -5116.81812153 |  -5116.81874496 |  -5116.81873941 |  -5116.81872293 |  -5116.8187433 |
| 2451633.47652 | -4712.20951723 |  -4712.20891165 |  -4712.20944876 |   -4712.2094432 |  -4712.20942686 | -4712.20944623 |
| 2451634.39716 | -4218.70549096 |  -4218.70491236 |  -4218.70542621 |  -4218.70542062 |  -4218.70540444 | -4218.70542275 |
| 2451635.31781 | -3651.88060267 |  -3651.88018595 |  -3651.88055611 |  -3651.88055052 |  -3651.88053448 | -3651.88055165 |
| 2451636.23845 | -3043.83793884 |  -3043.83766903 |  -3043.83792407 |  -3043.83791845 |   -3043.8379026 | -3043.83791858 |
| 2451637.15909 | -2435.90525388 |  -2435.90526587 |  -2435.90527828 |  -2435.90527266 |  -2435.90525698 | -2435.90527176 |
| 2451638.07973 | -1869.22574394 |   -1869.2258039 |  -1869.22579882 |  -1869.22579316 |  -1869.22577768 | -1869.22579116 |
| 2451639.00037 | -1375.39449121 |  -1375.39474003 |  -1375.39455846 |   -1375.3945528 |  -1375.39453749 | -1375.39454967 |
| 2451639.92101 |  -969.27996944 |  -969.280206276 |  -969.280021985 |  -969.280016327 |  -969.280001216 | -969.280012066 |
| 2451640.84165 | -645.670070911 |  -645.669921015 |  -645.670091246 |  -645.670085588 |  -645.670070643 | -645.670080129 |
| 2451641.76229 | -380.508156685 |   -380.50787488 |  -380.508148095 |  -380.508142437 |  -380.508127692 | -380.508135813 |
| 2451642.68293 | -136.435796464 |  -136.435322791 |  -136.435797313 |  -136.435791621 |   -136.43577711 | -136.435783933 |
| 2451643.60357 |  128.624943804 |   128.625459447 |   128.624947969 |   128.624953694 |   128.624968006 |  128.624962481 |
| 2451644.52421 |  451.811826181 |   451.812395787 |   451.811855646 |   451.811861238 |   451.811875483 |   451.81187109 |
| 2451645.44485 |  856.794241689 |   856.794724355 |   856.794282253 |   856.794287911 |   856.794301824 |  856.794298695 |
